epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.40218180418014526,1.8223191499710083,0.001,0.11400000005960464,2.3738627433776855
1,0.7338363528251648,1.0151784420013428,0.001,0.678600013256073,0.9304966926574707
2,0.8710727095603943,0.5757392644882202,0.001,0.8682000041007996,0.49882662296295166
3,0.9084181785583496,0.3889925181865692,0.001,0.8903999924659729,0.39198580384254456
4,0.9223636388778687,0.3093736171722412,0.001,0.883400022983551,0.3673398792743683
5,0.9291272759437561,0.26654571294784546,0.001,0.946399986743927,0.21772654354572296
6,0.9352363348007202,0.2400083988904953,0.001,0.9417999982833862,0.216653510928154
7,0.9389636516571045,0.2205694019794464,0.001,0.9509999752044678,0.18188682198524475
8,0.9420727491378784,0.20667068660259247,0.001,0.9524000287055969,0.17547529935836792
9,0.9455817937850952,0.19393545389175415,0.001,0.9431999921798706,0.19777812063694
